201120	Atlanta Falcons	$74,667,755	$47,474,679	$125,832,217
201121	Arizona Cardinals	$59,196,332	$60,548,813	$123,586,812
201122	Indianapolis Colts	$56,827,993	$60,055,040	$123,406,700
201123	San Diego Chargers	$68,775,272	$46,786,739	$121,678,261
201124	New England Patriots	$62,333,132	$54,492,477	$120,938,742
201125	Washington Redskins	$61,965,783	$55,317,590	$120,408,373
201126	St. Louis Rams	$58,241,239	$58,486,718	$118,245,991
201127	Carolina Panthers	$63,031,479	$48,630,894	$113,773,293
201128	Buffalo Bills	$48,121,043	$60,932,910	$112,348,620
201129	New York Jets	$66,639,497	$42,583,480	$111,242,977
201130	Cleveland Browns	$36,954,024	$56,652,059	$99,734,750
201131	Jacksonville Jaguars	$44,730,483	$39,031,529	$88,427,137
201132	Oakland Raiders	$32,148,937	$36,525,403	$73,971,340
20111	San Francisco 49ers	$91,853,431	$68,665,245	$168,170,676
20112	Green Bay Packers	$62,934,919	$81,080,339	$149,236,508
20113	Philadelphia Eagles	$77,964,841	$65,231,475	$146,602,149
20114	New Orleans Saints	$76,077,760	$59,788,982	$141,315,492
20115	Miami Dolphins	$64,109,498	$70,902,433	$140,063,129
20116	Cincinnati Bengals	$62,230,539	$69,742,134	$137,262,673
20117	St. Louis Rams	$64,756,973	$67,867,210	$137,054,301
20118	Arizona Cardinals	$68,779,397	$64,284,210	$136,680,774
20119	Kansas City Chiefs	$72,551,486	$57,084,593	$134,651,746
201110	Atlanta Falcons	$77,847,756	$48,802,790	$132,707,796
201111	Seattle Seahawks	$47,909,171	$79,546,285	$132,649,623
201112	Detroit Lions	$72,800,724	$56,748,525	$132,004,324
201113	New England Patriots	$63,746,385	$63,618,878	$131,657,563
201114	New York Giants	$66,294,667	$60,955,309	$131,533,309
201115	Baltimore Ravens	$64,601,289	$61,321,515	$130,547,804
201116	Chicago Bears	$67,037,324	$56,213,492	$129,392,143
201117	Pittsburgh Steelers	$59,700,545	$64,032,480	$128,274,692
201118	Tennessee Titans	$67,185,396	$58,506,858	$128,222,046
201119	Denver Broncos	$67,985,176	$54,150,815	$127,747,990
201120	Washington Redskins	$60,528,953	$64,341,576	$126,815,529
201121	Buffalo Bills	$52,441,085	$67,050,993	$123,976,245
201122	Indianapolis Colts	$51,106,865	$66,366,415	$123,353,280
201123	Houston Texans	$58,788,364	$61,423,316	$123,320,790
201124	San Diego Chargers	$67,575,898	$47,375,549	$122,022,697
201125	Tampa Bay Buccaneers	$55,617,450	$61,090,533	$120,932,983
201126	Cleveland Browns	$48,826,870	$69,539,491	$120,923,361
201127	Minnesota Vikings	$63,757,611	$53,542,836	$119,580,978
201128	Dallas Cowboys	$59,514,072	$54,334,640	$118,627,998
201129	New York Jets	$71,408,387	$39,333,978	$114,982,365
201130	Oakland Raiders	$46,859,173	$54,619,321	$106,775,494
201131	Jacksonville Jaguars	$46,742,023	$48,888,553	$100,295,701
201132	Carolina Panthers	$52,838,622	$41,467,822	$98,852,364
20111	Seattle Seahawks	$75,126,186	$85,107,187	$165,501,707
20112	Green Bay Packers	$78,302,794	$75,388,573	$159,392,617
20113	Denver Broncos	$83,944,068	$69,764,876	$159,078,777
20114	Dallas Cowboys	$82,961,083	$70,130,060	$158,805,429
20115	Kansas City Chiefs	$70,992,608	$79,376,397	$155,109,672
20116	Buffalo Bills	$60,553,049	$86,626,574	$151,798,790
20117	Cincinnati Bengals	$70,701,381	$74,533,309	$150,774,690
20118	Philadelphia Eagles	$78,943,307	$65,767,559	$148,746,699
20119	Cleveland Browns	$64,207,744	$80,135,568	$148,643,312
201110	New York Jets	$70,156,147	$73,092,252	$148,308,399
201111	Washington Redskins	$69,858,221	$75,604,628	$147,527,849
201112	Carolina Panthers	$74,207,559	$67,949,896	$146,703,375
201113	Indianapolis Colts	$63,093,991	$76,424,758	$145,918,749
201114	San Diego Chargers	$75,623,841	$62,324,486	$142,941,244
201115	Minnesota Vikings	$76,616,755	$61,521,429	$142,604,232
201116	Pittsburgh Steelers	$75,273,231	$61,653,642	$142,183,540
201117	Miami Dolphins	$67,851,289	$71,968,489	$142,020,140
201118	Baltimore Ravens	$74,711,562	$60,474,030	$141,616,592
201119	New Orleans Saints	$73,426,319	$62,429,207	$141,009,276
201120	St. Louis Rams	$64,320,628	$71,490,040	$140,240,786
201121	Arizona Cardinals	$73,731,060	$64,098,336	$139,929,896
201122	Detroit Lions	$68,660,641	$62,231,511	$135,522,227
201123	Houston Texans	$53,697,171	$77,946,201	$135,321,705
201124	Atlanta Falcons	$74,633,714	$52,604,962	$134,424,259
201125	New England Patriots	$73,937,402	$53,313,714	$134,204,449
201126	Tennessee Titans	$45,358,338	$75,785,332	$127,693,670
201127	Tampa Bay Buccaneers	$59,633,512	$63,480,472	$125,098,151
201128	New York Giants	$66,255,007	$54,622,803	$125,027,810
201129	Jacksonville Jaguars	$61,274,677	$61,048,617	$124,471,128
201130	San Francisco 49ers	$69,612,602	$49,614,315	$123,932,467
201131	Oakland Raiders	$62,085,352	$52,529,134	$121,868,153
201132	Chicago Bears	$62,666,600	$48,250,765	$115,728,692
20111	Philadelphia Eagles	$112,481,457	$93,391,685	$210,452,475
20112	Kansas City Chiefs	$98,410,425	$89,792,185	$192,943,277
20113	Jacksonville Jaguars	$82,140,093	$98,595,940	$185,489,575
20114	Dallas Cowboys	$104,343,474	$70,284,750	$180,792,510
20115	Seattle Seahawks	$79,971,809	$94,341,223	$180,113,032
20116	New York Jets	$83,974,353	$90,157,687	$179,182,656
